Question,Answer
What sizes is Primacol's Contact Primer available in?,Primacol's Contact Primer is available in 1 kg and 3 kg sizes.
Where should I store Contact Primer?,The product should be kept out of reach of children.
What is the coverage of the Contact Primer?,The coverage of the Contact Primer is ± 6m²/kg (1 layer).
What is the email address of the responsible person at the manufacturer of Primacol's Contact Primer?,The email address of the responsible person at the manufacturer of Primacol's Contact Primer is shop@primacol.com.
What is the address of the manufacturer of Primacol's Contact Primer?,The address of the manufacturer of Primacol's Contact Primer is Supraslska 25  16-010 Wasilkow Poland.
What is the purpose of Primacol's Contact Primer?,Primacol's Contact Primer is a priming agent used to improve the adhesion and bonding strength of some Primacol Decorativ system products  such as Concrete Effect Paint.
What is the name of the manufacturer of Primacol's Contact Primer?,The manufacturer of Primacol's Contact Primer is Unicell International sp. z o.o.
How long does it take to receive deliveries within the European Union?,Delivery time within the European Union is usually 2 to 5 business days.
What are the hazards associated with Contact Primer?,Contact Primer contains reaction mass of 5-chloro-2-methyl-2H-isothiazol-3-one and 2-methyl-2H-isothiazol-3-one (3:1); 1 2-benzisothiazol-3(2H)-one  which may produce an allergic reaction. Hazardous respirable droplets may be formed when spraying  and users should not breathe the spray or mist.
How is the shipping price calculated?,Shipping price depends on the weight of the shipment and is shown in the shopping cart after entering the delivery address.
What information does the website provide about the Primacol Contact Primer?,The website provides information about the product's application  technical details  and customer reviews.
What shipping carriers are used for deliveries?,Depending on the order size  shipments are made via UPS  FedEx  DHL  DB Schenker  or Rohlig Suus.
What is the price of Primacol's Contact Primer?,The price of Primacol's Contact Primer is €9.99 per kg.
How long does it take to receive deliveries to the United Kingdom?,Shipping to the United Kingdom usually takes about 5-6 business days.
How many layers of the Contact Primer should I apply?,The recommended number of layers for the Contact Primer is 1/2.
Are the estimated delivery times guaranteed?,The estimated delivery times provided are subject to change due to unforeseen events beyond our control.
Where can I find more information about Primacol's Decobase Paint product?,You can find more information about Primacol's Decobase Paint product on their website at Decobase Paint 1 l.
Where can I find more information about Primacol's Primer product?,You can find more information about Primacol's Primer product on their website at Primer.
What types of decorative products does Primacol offer?,Primacol offers a variety of decorative products  including Decorative Paints - DIY kits  Primers  Matte Varnishes  Satin Stains  and Decobase Paints. They also offer complementary products.
What is required to use this website?,Agreement to the Terms of Service and Privacy Policy is required.
Where can I find more information about Primacol's Satin Stain product?,You can find more information about Primacol's Satin Stain product on their website at Satin Stain.
Where can I find more information about Primacol's Contact Primer product?,You can find more information about Primacol's Contact Primer product on their website at Contact Primer.
Where can I find more information about Primacol's Matte Varnish product?,You can find more information about Primacol's Matte Varnish product on their website at Matte Varnish.
What tools are required to apply Satin Stain?,The tools required for applying Satin Stain are a roller.
What is the address of the Unicell International sp. z o.o. manufacturer?,The address of the Unicell International sp. z o.o. manufacturer is Supraslska 25  16-010 Wasilkow Poland.
What is the VOC limit and content of Satin Stain?,Satin Stain has a VOC limit (cat. A/I/WB) of 200 g/l  and the product contains less than 200 g/l.
What should I do to protect the surrounding areas when applying Satin Stain?,Protect unpainted surfaces with foil.
How long does it take to receive an order within the European Union?,Delivery time within the European Union is usually 2 to 5 business days.
How many layers of Satin Stain should be applied?,Satin Stain should be applied in 1 layer.
What shipping carriers do you use?,Depending on the order size  shipments are made via UPS  FedEx  DHL  DB Schenker  or Rohlig Suus.
What type of stain is Satin Stain?,Satin Stain is a transparent satin stain.
What happens if my order value is below £135?,If the order value is below £135  then all fees are paid right away when placing the order.
Where should Satin Stain be kept?,Keep Satin Stain out of reach of children.
How long does it take to receive an order outside of Europe?,Shipping to countries outside Europe usually takes 4 to 10 business days.
How long does it take to receive a large order that requires pallet shipping?,For large orders requiring pallet shipping  the standard delivery time may extend by approximately 2 days.
What are the hazardous components in Satin Stain  and what are the potential allergic reactions?,Satin Stain contains reaction mass of 5-chloro-2-methyl-2H-isothiazol-3-one and 2-methyl-2H-isothiazol-3-one (3:1); 1 2-benzisothiazol-3(2H)-one  which may produce an allergic reaction.
What is Satin Stain?,Satin Stain is a decorative paint product that strengthens and protects walls  providing improved resistance to daily wear and tear.
What is the email address of the responsible person at Unicell International sp. z o.o.?,The email address of the responsible person at Unicell International sp. z o.o. is shop@primacol.com.
Are the estimated delivery times guaranteed?,The estimated delivery times provided are subject to change due to unforeseen events beyond our control.
What should I do after finishing the application of Satin Stain?,Once the job is finished  ventilate the room until the odor has completely gone.
What is the phone number of the Unicell International sp. z o.o. manufacturer?,The phone number of the Unicell International sp. z o.o. manufacturer is +48 667 950 839.
What capacities is Satin Stain available in?,Satin Stain is available in 1 L and 3 L capacities.
Can Satin Stain be thinned?,Yes  Satin Stain can be thinned with water.
What safety precautions should I take when using Satin Stain?,It is recommended to use protective clothes as the stain is difficult to remove.
What is the recommended application method for Satin Stain?,Apply in thin layer using a paint roller  avoiding the formation of streaks.
How much does the shipping cost?,The shipping price depends on the weight of the shipment and is shown in the shopping cart after entering the delivery address.
Where can I find the Safety Data Sheet (SDS) for the Satin Stain decorative paint product?,The SDS for the Satin Stain decorative paint product is available at SDS.
How should Satin Stain be disposed of?,Do not enter Satin Stain remains into the sewage system. Dispose of Satin Stain contents/container in a licensed waste disposal facility.
What happens if my order value exceeds £135?,When the net value of the order goods exceeds the equivalent of £135  HM Revenue & Customs regulations state that import tax and customs duties apply at the UK border. This means that when placing an order  you will only pay the net value of the order (0% VAT)  and the carrier will contact you to collect the related fees on behalf of HM Revenue & Customs before the delivery.
What paints is Satin Stain recommended for use with?,Satin Stain is recommended for use as a protective coating for Polaris and Silver Sand paints.
How should the tools used for applying Satin Stain be cleaned?,The tools used for applying Satin Stain should be cleaned with warm water and detergent.
How long does Satin Stain take to dry?,Leave the surface to dry for at least 12 hours  though drying time may be extended due to environmental conditions such as high humidity.
How should I prepare the surface before applying Satin Stain?,The substrate should be stable  dry  clean and degreased.
Where can I find the Technical Data Sheet (TDS) for the Satin Stain decorative paint product?,The TDS for the Satin Stain decorative paint product is available at TDS.
How do I properly prepare the Satin Stain product before application?,Mix the product before use.
What is the coverage of Satin Stain?,The coverage of Satin Stain is 10 m2/l.
How long does it take for Satin Stain to completely dry?,Satin Stain takes 24 h to completely dry.
What safety precautions should be taken when using Satin Stain?,Warning! Hazardous respirable droplets may be formed when spraying Satin Stain. Do not breathe spray or mist.
How long does it take for orders to be dispatched?,Orders are dispatched within 48 business hours after payment is received.
How long does it take to receive an order in the United Kingdom?,Shipping to the United Kingdom usually takes about 5-6 business days.
What is the price of Satin Stain?,The price of Satin Stain is €19.90 per liter.
What safety precautions should I take when using the Matte Varnish product?,There is a warning that hazardous respirable droplets may be formed when spraying the Matte Varnish product  and users should not breathe the spray or mist.
What is the price of Matte Varnish?,The price of Matte Varnish is €19.90 per liter.
Can I apply a second layer of the Matte Varnish?,If needed  the second layer may be applied once the first one has dried (after about 2-4 hours).
How should I prepare the surface before applying the Matte Varnish?,The substrate should be strong  dry and free of dust  dirt and grease.
What shipping carriers are used for deliveries?,Depending on the order size  shipments are made via UPS  FedEx  DHL  DB Schenker  or Rohlig Suus.
How should I prepare the surface before applying the primer?,The substrate should be clean  dry and stable. Residues of paint  adhesives and other peeling coatings must be removed.
What should I wear when using the primer?,Use work clothes  as stains caused by primer can be difficult to remove.
How long does it take to receive an order within the European Union?,Delivery time within the European Union is usually 2 to 5 business days.
What is the recommended application method for the primer?,"The primer is described as ""very watery "" and the customer found that using a brush resulted in a lot of drips  but a roller would have been better."
How long does it take to receive an order in the United Kingdom?,Shipping to the United Kingdom usually takes about 5-6 business days.
What is the address of the manufacturer Unicell International sp. z o.o.?,The address of Unicell International sp. z o.o. is Supraslska 25  16-010 Wasilkow  Poland.
Are the estimated delivery times guaranteed?,The estimated delivery times provided are subject to change due to unforeseen events beyond our control.
What is the VOC content of the product?,The product has a VOC limit (cat. A/I/WB) of 200 g/l  and the product contains less than 200 g/l.
What happens if my order value exceeds £135?,When the net value of the order goods exceeds the equivalent of £135  HM Revenue & Customs regulations state that import tax and customs duties apply at the UK border. This means that when placing an order  you will only pay the net value of the order (0% VAT)  and the carrier will contact you to collect the related fees on behalf of HM Revenue & Customs before the delivery.
What surfaces can the primer be used on?,The customer used the primer to seal new MDF boards on their media wall before using the Primacol Silver Sand paint.
How long does it take to receive an order outside of Europe?,Shipping to countries outside Europe usually takes 4 to 10 business days.
How satisfied are customers with the primer?,Customers are very happy with the result  and one customer said it was the second time they used the primer. Another customer used one layer of the primer because they already had wallpaper on the wall  and the result was very good.
How should I apply the primer?,Apply the primer using a roller or a brush. For very absorbent substrates - apply 2 layers.
Where can I find the Technical Data Sheet (TDS) for the primer product?,The TDS for the primer product is available at TDS.
What is the purpose of the primer?,The primer is used to prepare surfaces like plaster  putty  plasterboards  and concrete before applying decorative coatings such as Let's Shine  Moonlight  Silver Sand  Polaris  Royal Silk  Modern Stone  Mystic  and Metaliq.
What if the primer is not suitable for a specific substrate?,If the primer is not suitable for the customer's specific substrate  they may be able to use it in a different way and still be very satisfied with the product and service.
What happens if my order value is below £135?,If the order value is below £135  then all fees are paid right away when placing the order.
How long does it take for orders to be dispatched?,Orders are dispatched within 48 business hours after payment is received.
What is the email address of the responsible person at Unicell International sp. z o.o.?,The email address of the responsible person at Unicell International sp. z o.o. is shop@primacol.com.
How long does it take to receive an order within the European Union?,Delivery time within the European Union is usually 2 to 5 business days.
What is the recommended application method for the primer?,"The primer is described as ""very watery "" and the customer found that using a brush resulted in a lot of drips  but a roller would have been better."
How long does it take to receive an order in the United Kingdom?,Shipping to the United Kingdom usually takes about 5-6 business days.
What is the address of the manufacturer Unicell International sp. z o.o.?,The address of Unicell International sp. z o.o. is Supraslska 25  16-010 Wasilkow  Poland.
Are the estimated delivery times guaranteed?,The estimated delivery times provided are subject to change due to unforeseen events beyond our control.
What is the VOC content of the product?,The product has a VOC limit (cat. A/I/WB) of 200 g/l  and the product contains less than 200 g/l.
What happens if my order value exceeds £135?,When the net value of the order goods exceeds the equivalent of £135  HM Revenue & Customs regulations state that import tax and customs duties apply at the UK border. This means that when placing an order  you will only pay the net value of the order (0% VAT)  and the carrier will contact you to collect the related fees on behalf of HM Revenue & Customs before the delivery.
What surfaces can the primer be used on?,The customer used the primer to seal new MDF boards on their media wall before using the Primacol Silver Sand paint.
How long does it take to receive an order outside of Europe?,Shipping to countries outside Europe usually takes 4 to 10 business days.
How satisfied are customers with the primer?,Customers are very happy with the result  and one customer said it was the second time they used the primer. Another customer used one layer of the primer because they already had wallpaper on the wall  and the result was very good.
How should I apply the primer?,Apply the primer using a roller or a brush. For very absorbent substrates - apply 2 layers.
How do I prepare the primer for application?,The product is ready to use  no need to dilute it. Before use  mix carefully.
How much coverage does the primer provide?,The primer is said to be sufficient for the promised square meters  and it spreads easily.
How is the primer described by customers?,"The primer is described as a ""fijne primer"" (fine primer) that is ""prettig aan te brengen"" (pleasant to apply). It is also described as ""super grundierung"" (super primer) that is easy to work with."
How quickly does the primer dry  and how much coverage does it provide?,The primer dries quickly and a little goes a long way  so it is good value for money. It was able to seal the boards in just one coat.
How is the shipping price calculated?,The shipping price depends on the weight of the shipment and is shown in the shopping cart after entering the delivery address.
What is the phone number of Unicell International sp. z o.o.?,The phone number of Unicell International sp. z o.o. is +48 667 950 839.
What types of surfaces can the primer be used on?,The primer can be used to prepare the following surfaces for painting: plaster  putty  plasterboards  concrete etc.
How long does it take to receive a large order that requires pallet shipping?,For large orders requiring pallet shipping  the standard delivery time may extend by approximately 2 days.
When can I apply decorative coatings over new lime plaster?,In the case of new lime plaster  wait 3-4 weeks before applying decorative coatings.
Where can I find the Safety Data Sheet (SDS) for the primer product?,The SDS for the primer product is available at SDS.
What is the purpose of the primer?,The primer is used to prepare surfaces like plaster  putty  plasterboards  and concrete before applying decorative coatings such as Let's Shine  Moonlight  Silver Sand  Polaris  Royal Silk  Modern Stone  Mystic  and Metaliq.
What if the primer is not suitable for a specific substrate?,If the primer is not suitable for the customer's specific substrate  they may be able to use it in a different way and still be very satisfied with the product and service.
What happens if my order value is below £135?,If the order value is below £135  then all fees are paid right away when placing the order.
How long does it take for orders to be dispatched?,Orders are dispatched within 48 business hours after payment is received.
Where can I find the Technical Data Sheet (TDS) for the primer product?,The TDS for the primer product is available at TDS.
What should I do after completing the work with the primer?,After completing the work  ventilate the room until the odor is gone.
What is the email address of the responsible person at Unicell International sp. z o.o.?,The email address of the responsible person at Unicell International sp. z o.o. is shop@primacol.com.
How do I clean the tools used for applying the primer product?,The tools used for applying the primer product can be cleaned with warm water and detergent.
What is the recommended thinner for the Matte Varnish product?,The recommended thinner for the Matte Varnish product is water.
How much does shipping cost?,Shipping price depends on the weight of the shipment and is shown in the shopping cart after entering the delivery address.
How long does it take for my order to be dispatched?,Orders are dispatched within 48 business hours after payment is received.
What happens if my order value is below £135?,If the order value is below £135  then all fees are paid right away when placing the order.
How long does it take for the Matte Varnish product to completely dry?,The Matte Varnish product takes 24 hours to completely dry.
How can I contact the manufacturer of this product?,You can contact the manufacturer of this product by phone at +48 667 950 839 or by email at shop@primacol.com.
What sizes is Matte Varnish available in?,Matte Varnish is available in 1 L and 3 L capacities.
What happens if my order value exceeds £135?,When the net value of the order goods exceeds the equivalent of £135  HM Revenue & Customs regulations state that import tax and customs duties apply at the UK border. This means that when placing the order  you will only pay the net value of the order (0% VAT)  and the carrier will contact you to collect the related fees on behalf of HM Revenue & Customs before the delivery.
What is the coverage area of the Matte Varnish product?,The Matte Varnish product has a coverage of 10 m²/l.
What shipping carriers do you use?,Depending on the order size  shipments are made via UPS  FedEx  DHL  DB Schenker  or Rohlig Suus.
"What textures are available for the ""Glitter in gel"" product?","The product details state that the ""Glitter in gel"" product has ""Lots of Colors & Textures"" available."
How do I clean the tools used for applying the Glitter Gel and paint mixture?,The tools can be cleaned with water.
Can I customize the color of Glitter in gel?,Yes  you can mix Glitter in gel with any paint of your choice  giving you the freedom to perfectly match the color to your interior.
What colors does Glitter in gel come in?,Glitter in gel is available in 2 colors: gold and silver.
How does the amount of Glitter Gel and type of paint affect the final sparkle level?,The level of sparkle depends on the amount of Glitter Gel added  as well as the type and quality of the paint used.
"Do the components of the ""Glitter in gel"" product meet the criteria for PBT or vPvB according to REACH Annex XIII?",No  the components of this mixture do not meet the criteria for PBT or vPvB in accordance with Annex XIII of REACH.
How can Glitter in gel be used?,Glitter in gel can be mixed with any paint to create a shimmering effect on walls  particularly suitable for a child's room.
What are the benefits of using Glitter in gel?,Glitter in gel is an easy way to transform plain surfaces into elegant  eye-catching finishes.
"What colors are available for the ""Glitter in gel"" product?","The ""Glitter in gel"" product is available in at least two color options: g01 and s01."
"What is the address of the manufacturer of the ""Glitter in gel"" product?",The manufacturer's address is Supraslska 25  16-010 Wasilkow  Poland.
Is Glitter in gel suitable for a child's room?,Yes  your child will love the effect of Glitter in gel.
What shipping carriers are used for deliveries?,Depending on the order size  shipments are made via UPS  FedEx  DHL  DB Schenker  or Rohlig Suus.
What tool is recommended for applying the Glitter Gel and paint mixture?,The recommended tool is a paint roller - buy here.
"Who is the manufacturer of the ""Glitter in gel"" product?","The manufacturer of the ""Glitter in gel"" product is Unicell International sp. z o.o."
How long does it take to receive an order in the United Kingdom?,Shipping to the United Kingdom usually takes about 5-6 business days.
"What is the email address of the responsible person for the ""Glitter in gel"" product?",The email address of the responsible person is shop@primacol.com.
How many layers of the Glitter Gel and paint mixture should I apply?,The recommended number of layers is 1/2.
How long does it take to receive an order outside of Europe?,Shipping to countries outside Europe usually takes 4 to 10 business days.
"What is the phone number of the manufacturer of the ""Glitter in gel"" product?",The manufacturer's phone number is +48 667 950 839.
What happens if my order value is below £135?,If the order value is below £135  then all fees are paid right away when placing the order.
How is the shipping price calculated?,The shipping price depends on the weight of the shipment and is shown in the shopping cart after entering the delivery address.
"What type of product is ""Glitter in gel""?","Glitter in gel"" is a decorative paint product that can be mixed with any paint to create a shimmering effect on walls."
How much Glitter Gel should I use for a 3 L paint project?,One 150 g jar of Glitter Gel is intended for mixing with 3 L of paint.
How do I apply Glitter in gel?,Simply stir Glitter in gel into the paint  and as soon as the walls are coated  they come to life with a shimmering effect that sparkles beautifully in the light.
What happens if my order value exceeds £135?,When the net value of the order goods exceeds the equivalent of £135  HM Revenue & Customs regulations state that import tax and customs duties apply at the UK border. This means that when placing an order  you will only pay the net value of the order (0% VAT)  and the carrier will contact you to collect the related fees on behalf of HM Revenue & Customs before the delivery.
What is the recommended process for applying the Glitter Gel and paint mixture?,Add the Glitter Gel to the chosen decorative product and mix carefully but gently  using it within 24 hours. Do not use high-speed mixers.
How should I prepare the Glitter Gel before adding it to paint?,Before adding to paint or varnish  the Glitter Gel product should be thoroughly mixed.
What is Glitter in gel?,Glitter in gel is a glitter gel product from the company Primacol.
Are the estimated delivery times guaranteed?,The estimated delivery times provided are subject to change due to unforeseen events beyond our control.
How long does it take for orders to be dispatched?,Orders are dispatched within 48 business hours after payment is received.
Where can I find the Safety Data Sheet (SDS) and Technical Data Sheet (TDS) for the Glitter Gel product?,You can download the SDS and TDS for the Glitter Gel product.
"What are the hazardous components in the ""Glitter in gel"" product?","The ""Glitter in gel"" product contains reaction mass of 5-chloro-2-methyl-2H-isothiazol-3-one and 2-methyl-2H-isothiazol-3-one (3:1) and 1 2-benzisothiazol-3(2H)-one  which may produce an allergic reaction."
"What is the price of the ""Glitter in gel"" product?","The ""Glitter in gel"" product is priced at €9 90."
What is the coverage of the Glitter Gel product?,One 150 g jar of Glitter Gel is intended for mixing with 3 L of paint.
"Are there any reviews for the ""Glitter in gel"" product?","According to the product details  there are no reviews for the ""Glitter in gel"" product."
How long does it take to receive an order within the European Union?,Delivery time within the European Union is usually 2 to 5 business days.
What shipping carriers do you use?,Depending on the order size  shipments are made via UPS  FedEx  DHL  DB Schenker  or Rohlig Suus.
How long does it take for Primacol's Chalkboard Paint to fully dry and cure?,Primacol's Chalkboard Paint takes 3 days to fully dry and cure  at which point it will have achieved its final properties.
How long does it take for my order to be dispatched?,Orders are dispatched within 48 business hours after payment is received.
How long does it take to receive a large order that requires pallet shipping?,For large orders requiring pallet shipping  the standard delivery time may extend by approximately 2 days.
Where can I find the Technical Data Sheet (TDS) for Primacol's Chalkboard Paint?,The TDS for Primacol's Chalkboard Paint is available at TDS.
"What color options are available for the ""Let's Shine"" product?","The available colors for the ""Let's Shine"" product are: Paris - golden glitter  Los Angeles - silver glitter  Amsterdam - golden glitter  Barcelona - silver glitter  Vancouver - golden glitter  Hong Kong - silver glitter  Shanghai - silver glitter  Chicago - silver glitter  Athens - silver glitter  Reykjavik - silver glitter  Montreal - silver glitter  Sapporo - silver glitter  San Francisco - silver glitter  Las Vegas - silver glitter  Hollywood -silver glitter  Denver - silver glitter  Sydney - silver glitter  Stockholm - silver glitter  Macau - silver glitter  Milan - silver glitter  Valletta - silver glitter  Florence - silver glitter  Dallas - silver glitter  Monaco - silver glitter  Dubai - silver glitter  Nicosia - silver glitter  Singapore - silver glitter  Lviv - golden glitter."
"What is the ""Let's Shine"" product?","The ""Let's Shine"" product is a decorative paint that contains fine glitter particles to achieve a subtle shimmering effect."
"What is the VOC content of the ""Let's Shine Paint with Glitter"" product?",The product has a VOC limit (cat. A/I/WB) of 200 g/l  and the product contains less than 200 g/l.
"Can the ""Let's Shine Paint with Glitter"" product be used to transform a room's appearance?","Yes  one customer review states that the ""Let's Shine Paint with Glitter"" product was used to transform a plain ceiling into a ""glittering starry sky""."
"What are the key features of the ""Let's Shine Paint with Glitter"" product based on the customer reviews?","According to the customer reviews  the ""Let's Shine Paint with Glitter"" product has a good consistency  does not drip much  and provides good coverage. The reviews also mention that the paint color matches the image on the website  and that additional glitter can be added if desired."
How long does it take to receive my order in the United Kingdom?,Shipping to the United Kingdom usually takes about 5-6 business days.
How do I mix the Let's Shine paint with the glitter?,After opening the Let's Shine bucket  stir the contents thoroughly. Then  pour glitter into the bucket and carefully but gently mix again  distributing the glitter evenly in the paint. Do not use a mechanical mixer when mixing paint with the glitter - this will damage the glitter particles.
What is the address of the manufacturer Unicell International sp. z o.o.?,The address of Unicell International sp. z o.o. is Supraslska 25  16-010 Wasilkow  Poland.
What is the effect of using Let's Shine Paint?,Your child will love the effect of Let's Shine Paint.
What is the name of the company that produces Let's Shine Paint?,Let's Shine Paint is a product from the company Primacol.
What is Let's Shine?,Let's Shine is a decorative paint designed for interior walls and ceilings. Depending on the chosen colour  Let's Shine contains fine silvery or golden glitter particles to achieve a subtle shimmering effect  which intensifies under enhanced lighting. This paint boasts good washability and great coverage  ensuring both durability and a smooth finish.
"What is the coverage of the ""Let's Shine"" product?","The coverage of the ""Let's Shine"" product is 8m² (2 layers)."
"What safety precautions should be taken when using the ""Let's Shine Paint with Glitter"" product?",The product has a warning that hazardous respirable droplets may be formed when sprayed  and users should not breathe the spray or mist. The product should also be kept out of reach of children.
How long does it take to receive my order within the European Union?,Delivery time within the European Union is usually 2 to 5 business days.
"What are the key ingredients in the ""Let's Shine Paint with Glitter"" product?",The product contains C(M)IT/MIT (3:1)  reaction mass of 5-chloro-2-methyl-2H-isothiazol-3-one and 2-methyl-2H-isothiazol-3-one (3:1)  and 1 2-benzisothiazol-3(2H)-one  which may produce an allergic reaction.
How should I prepare the surface before applying Let's Shine?,The substrate to be painted should be stable  clean  dry and uniform. Any defects and cracks should be repaired and levelled out. Surfaces that are highly absorbent (e.g. fresh plaster)  or those that are not equally absorbent  should first be primed with a suitable primer. We recommend our PRIMACOL® DECORATIVE primer  which is a universal product and will work for most surfaces.
"How should the ""Let's Shine Paint with Glitter"" product be disposed of?",The product should not be disposed of into the sewage system  and the contents/container should be disposed of in a licensed waste disposal facility.
Where can I buy the recommended paint roller set for Let's Shine?,You can buy the recommended paint roller set here.
How do I clean the tools used for applying Primacol's Chalkboard Paint?,The tools used for applying Primacol's Chalkboard Paint can be cleaned with water and detergent.
Where can Chalkboard Paint be used?,Chalkboard paint is an excellent choice for a variety of spaces  including children's rooms  kitchens and conference rooms.
How long does it take to receive my international order?,Shipping to countries outside Europe usually takes 4 to 10 business days.
"What kind of samples does the website offer for the ""Let's Shine Paint with Glitter"" product?","The website offers handmade samples of the ""Let's Shine Paint with Glitter"" product from the company Primacol so that customers can be sure the samples they receive are authentic and true to the final result."
What is the phone number of the manufacturer Unicell International sp. z o.o.?,The phone number of Unicell International sp. z o.o. is +48 667 950 839.
"What is the price per liter of the ""Let's Shine"" product?","The price per liter of the ""Let's Shine"" product is €15.00."
How long does it take to receive my order outside of Europe?,Shipping to countries outside Europe usually takes 4 to 10 business days.
What shipping carriers do you use?,Depending on the order size  shipments are made via UPS  FedEx  DHL  DB Schenker  or Rohlig Suus.
What are some practical uses of Chalkboard Paint?,Chalkboard paint adds a practical and creative touch  making it easy to jot down notes  create drawings  write a shopping list  and use in many other practical ways.
Where can Chalkboard Paint be used?,Chalkboard paint is an excellent choice for a variety of spaces  including children's rooms  kitchens and conference rooms.
How do I clean the tools used for applying Primacol's Chalkboard Paint?,The tools used for applying Primacol's Chalkboard Paint can be cleaned with water and detergent.
What is included in the Primacol Chalkboard Paint package?,The Primacol Chalkboard Paint package includes a 0.75L can of the paint.
What is Chalkboard Paint?,Chalkboard paint is an acrylic-based paint designed to create a chalkboard surface on walls or other materials  allowing for writing and drawing with chalk.
Who is the manufacturer of Chalkboard Paint?,The manufacturer of Chalkboard Paint is Unicell International sp. z o.o.  located at Supraslska 25  16-010 Wasilkow  Poland. Their phone number is +48 667 950 839 and their email address is shop@primacol.com.
Can the estimated delivery times change?,Yes  the estimated delivery times provided are subject to change due to unforeseen events beyond our control.
How do I apply Primacol's Chalkboard Paint?,"To apply Primacol's Chalkboard Paint  follow these steps: - The surface to be painted must be clean  stable  dry  and smooth. - Prior to painting  the substrate should be sanded  dusted  degreased  and thoroughly dried. - Cement substrates  plasterboards  and other surfaces that typically require priming should be treated with Primacol primer. - Wood and metal surfaces should also be primed with an appropriate primer beforehand. - Thoroughly mix the paint before use  and stir occasionally during application. - Apply with a roller suitable for acrylic paints  using the ""wet-on-wet"" technique to avoid tool marks. - Apply two coats of paint  waiting about 3 hours between each coat (two coats are the minimum required to achieve the chalkboard effect  a third coat can be applied if you have enough paint). - The surface is ready for use after 3 days  by which time it will be fully cured and have achieved its final properties. - The chalkboard surface can be easily cleaned with a damp cloth or sponge."
How long does it take to receive my order within the European Union?,Delivery time within the European Union is usually 2 to 5 business days.
What are the product details for Chalkboard Paint?,The product details for Chalkboard Paint are: - Item number: 027336 - GTIN: 5906725270399
What is the coverage of Primacol's Chalkboard Paint?,The coverage of Primacol's Chalkboard Paint is 10m² per liter  so about 4m² per can (two coats).
Where can I find the Safety Data Sheet (SDS) for Primacol's Chalkboard Paint?,The SDS for Primacol's Chalkboard Paint is available at SDS.
How long does it take to receive my order in the United Kingdom?,Shipping to the United Kingdom usually takes about 5-6 business days.
How does the painted surface function?,The painted surface functions exactly like a traditional chalkboard  enabling you to write and draw with chalk.
How many coats of Primacol's Chalkboard Paint are required?,Two coats of Primacol's Chalkboard Paint are the minimum required to achieve the chalkboard effect  but a third coat can be applied if you have enough paint.
What tools are required to apply Primacol's Chalkboard Paint?,The recommended tool for applying Primacol's Chalkboard Paint is a paint roller.
What is the coverage of one can of Primacol's Chalkboard Paint?,One can of Primacol's Chalkboard Paint covers approximately 4 m².
What surfaces can Chalkboard Paint be applied to?,Chalkboard paint is suitable for interior use and is perfect for transforming walls made of cement or lime-cement plaster  gypsum surfaces  and chip-cement boards into functional chalkboards. It can also be applied to wood  wood-like materials  and metal  provided these surfaces are properly primed.
What are the hazards associated with Chalkboard Paint?,Chalkboard Paint contains the following hazards: - EUH208: Contains reaction mass of 5-chloro-2- methyl-2H-isothiazol-3-one and 2-methyl-2H-isothiazol3- one (3:1); 1 2-benzisothiazol-3(2H)-one. May produce an allergic reaction. - EUH211: Warning! Hazardous respirable droplets may be formed when sprayed. Do not breathe spray or mist.
How long does it take for my order to be dispatched?,Orders are dispatched within 48 business hours after payment is received.
"What is the price of the ""Let's Shine"" product?","The price of the ""Let's Shine"" product is €29.99."
How many color options are available for Let's Shine Paint?,Let's Shine Paint is available in 30 beautiful colors  so you can easily find the perfect one for both a boy's and a girl's room.
Are the estimated delivery times guaranteed?,The estimated delivery times provided are subject to change due to unforeseen events beyond our control.
What comes in the box of Let's Shine?,The box contains a bucket of the Let's Shine paint and a sachet of glitter (under the lid of the bucket).
How much area can I cover with one bucket of Let's Shine paint?,One bucket (2L) of Let's Shine paint will cover approximately 8m² of a wall's surface (2 layers).
"What is the manufacturer of the ""Let's Shine Paint with Glitter"" product?","The manufacturer of the ""Let's Shine Paint with Glitter"" product is Unicell International sp. z o.o."
How do I apply the Let's Shine paint?,Apply a generous amount of paint on the roller and distribute it carefully and evenly  spreading the paint with vertical (up and down) movements. Use a microfibre medium-pile roller (11-13 mm) to paint large areas. Finish each section of the painted surface by moving the roller always in the same direction. Once the whole surface is finished  leave it to dry for about 4 hours. After the first coat has dried for about 4 hours  apply a second coat in the same way as the first. Once the painting is complete  let the wall/ceiling dry for about 12 hours.
What is the email address of the responsible person at Unicell International sp. z o.o.?,The email address of the responsible person at Unicell International sp. z o.o. is shop@primacol.com.
What happens if my order value is below £135?,If the order value is below £135  then all fees are paid right away when placing the order.
What is Let's Shine Paint suitable for?,Let's Shine Paint is a perfect choice when you plan to paint your child's room.
How long does it take to receive my large order?,For large orders requiring pallet shipping  the standard delivery time may extend by approximately 2 days.
What are the customs and VAT rules for orders over £135 on this website?,When the net value of the order goods exceeds the equivalent of £135  HM Revenue & Customs regulations state that import tax and customs duties apply at the UK border. This means that when placing an order  you will only pay the net value of the order (0% VAT)  and the carrier will contact you to collect the related fees on behalf of HM Revenue & Customs before the delivery.
Where can I find the Moonlight color card?,You can view the Moonlight color card at the following links: Moonlight Colour Card Moonlight Colour Card
